Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GFP_1 Spectral Count	GFP_2 Spectral Count	P8E2_1 Spectral Count	P8E2_2 Spectral Count	P8E2_T338I_1 Spectral Count	P8E2_T338I_2 Spectral Count	P8E2_T338M_1 Spectral Count	P8E2_T338M_2 Spectral Count	WT_1 Spectral Count	WT_2 Spectral Count	WT_T338I_1 Spectral Count	WT_T338I_2 Spectral Count	WT_T338M_1 Spectral Count	WT_T338M_2 Spectral Count	GFP_1 Unique Spectral Count	GFP_2 Unique Spectral Count	P8E2_1 Unique Spectral Count	P8E2_2 Unique Spectral Count	P8E2_T338I_1 Unique Spectral Count	P8E2_T338I_2 Unique Spectral Count	P8E2_T338M_1 Unique Spectral Count	P8E2_T338M_2 Unique Spectral Count	WT_1 Unique Spectral Count	WT_2 Unique Spectral Count	WT_T338I_1 Unique Spectral Count	WT_T338I_2 Unique Spectral Count	WT_T338M_1 Unique Spectral Count	WT_T338M_2 Unique Spectral Count	GFP_1 Total Spectral Count	GFP_2 Total Spectral Count	P8E2_1 Total Spectral Count	P8E2_2 Total Spectral Count	P8E2_T338I_1 Total Spectral Count	P8E2_T338I_2 Total Spectral Count	P8E2_T338M_1 Total Spectral Count	P8E2_T338M_2 Total Spectral Count	WT_1 Total Spectral Count	WT_2 Total Spectral Count	WT_T338I_1 Total Spectral Count	WT_T338I_2 Total Spectral Count	WT_T338M_1 Total Spectral Count	WT_T338M_2 Total Spectral Count	GFP_1 Intensity	GFP_2 Intensity	P8E2_1 Intensity	P8E2_2 Intensity	P8E2_T338I_1 Intensity	P8E2_T338I_2 Intensity	P8E2_T338M_1 Intensity	P8E2_T338M_2 Intensity	WT_1 Intensity	WT_2 Intensity	WT_T338I_1 Intensity	WT_T338I_2 Intensity	WT_T338M_1 Intensity	WT_T338M_2 Intensity	GFP_1 MaxLFQ Intensity	GFP_2 MaxLFQ Intensity	P8E2_1 MaxLFQ Intensity	P8E2_2 MaxLFQ Intensity	P8E2_T338I_1 MaxLFQ Intensity	P8E2_T338I_2 MaxLFQ Intensity	P8E2_T338M_1 MaxLFQ Intensity	P8E2_T338M_2 MaxLFQ Intensity	WT_1 MaxLFQ Intensity	WT_2 MaxLFQ Intensity	WT_T338I_1 MaxLFQ Intensity	WT_T338I_2 MaxLFQ Intensity	WT_T338M_1 MaxLFQ Intensity	WT_T338M_2 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q8NCA5|FA98A_HUMAN	Q8NCA5	FA98A_HUMAN	FAM98A	518	Homo sapiens	1:Experimental evidence at protein level	Protein FAM98A	1.0	0.999	4	43	43	43	2	1	4	4	3	3	5	3	6	1	3	0	7	1	2	1	4	4	3	3	5	3	6	1	3	0	7	1	2	1	4	4	3	3	5	3	6	1	3	0	7	1	28276.64	33764.883	0.0	56130.4	65680.88	53587.21	167510.38	70566.64	31039.762	44801.426	22323.672	22579.637	160975.75	24778.041	33754.934	68503.55	0.0	40144.4	42710.664	29241.744	66548.805	33476.207	37053.38	53481.215	20921.53	21161.416	41741.36	23221.74	
sp|Q8NCA9|ZN784_HUMAN	Q8NCA9	ZN784_HUMAN	ZNF784	323	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 784	0.9981	0.999	1	3	3	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	26776.883	0.0	28376.941	0.0	0.0	0.0	0.0	0.0	54274.82	0.0	0.0	0.0	0.0	0.0	26776.883	0.0	28376.941	0.0	0.0	0.0	0.0	0.0	28092.139	0.0	
sp|Q8NCD3|HJURP_HUMAN	Q8NCD3	HJURP_HUMAN	HJURP	748	Homo sapiens	1:Experimental evidence at protein level	Holliday junction recognition protein	1.0	0.999	6	98	98	98	7	6	9	10	6	6	7	8	7	7	4	8	7	6	7	6	9	10	6	6	7	8	7	7	4	8	7	6	7	6	9	10	6	6	7	8	7	7	4	8	7	6	236554.19	249444.53	264290.56	361926.5	228213.05	279742.3	174849.23	199317.22	233058.1	203653.1	273822.1	294040.62	182316.25	212696.98	73709.125	87296.32	84032.67	113954.22	69344.93	84762.31	66778.195	75839.13	72405.8	80997.69	81057.27	88811.12	69986.42	83820.65	
sp|Q8NCE0|SEN2_HUMAN	Q8NCE0	SEN2_HUMAN	TSEN2	465	Homo sapiens	1:Experimental evidence at protein level	tRNA-splicing endonuclease subunit Sen2	1.0	0.999	4	43	43	43	1	2	2	3	2	5	1	3	3	3	3	6	4	5	1	2	2	3	2	5	1	3	3	3	3	6	4	5	1	2	2	3	2	5	1	3	3	3	3	6	4	5	29490.248	28875.895	56585.156	72239.43	71454.76	84632.75	70082.62	94146.44	82711.4	89908.5	98954.03	97329.92	92433.375	104522.625	30650.133	30011.615	58810.715	42613.254	42428.41	50681.63	41386.062	55262.664	49434.367	53181.824	56836.254	58281.215	55289.207	57604.66	
sp|Q8NCE2|MTMRE_HUMAN	Q8NCE2	MTMRE_HUMAN	MTMR14	650	Homo sapiens	1:Experimental evidence at protein level	Myotubularin-related protein 14	1.0	0.999	3	4	4	4	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	42115.32	0.0	60172.133	0.0	0.0	0.0	0.0	0.0	52989.47	0.0	0.0	0.0	0.0	0.0	37559.242	0.0	27114.781	0.0	0.0	0.0	0.0	0.0	19978.32	0.0	
sp|Q8NCF5|NF2IP_HUMAN	Q8NCF5	NF2IP_HUMAN	NFATC2IP	419	Homo sapiens	1:Experimental evidence at protein level	NFATC2-interacting protein	1.0	0.999	1	13	13	13	3	0	1	1	1	1	1	3	0	0	0	0	1	1	3	0	1	1	1	1	1	3	0	0	0	0	1	1	3	0	1	1	1	1	1	3	0	0	0	0	1	1	427064.75	146186.81	451331.8	243837.6	460076.0	493005.75	396269.06	610198.44	85906.445	233814.39	299304.5	702104.2	744569.3	574788.2	240952.39	146186.81	263454.0	243837.6	264138.66	273342.4	218163.17	236578.69	85906.445	233814.39	121002.086	270800.34	304882.16	223011.84	
sp|Q8NCG7|DGLB_HUMAN	Q8NCG7	DGLB_HUMAN	DAGLB	672	Homo sapiens	1:Experimental evidence at protein level	Diacylglycerol lipase-beta	1.0	0.999	1	4	4	4	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	61176.54	0.0	10233.748	0.0	0.0	0.0	0.0	0.0	34799.42	0.0	0.0	0.0	0.0	0.0	20512.783	0.0	10233.748	0.0	0.0	0.0	0.0	0.0	11784.343	0.0	
sp|Q8NCJ5|SPRY3_HUMAN	Q8NCJ5	SPRY3_HUMAN	SPRYD3	442	Homo sapiens	1:Experimental evidence at protein level	SPRY domain-containing protein 3	0.9779	0.999	1	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	27796.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q8NCK3|ZN485_HUMAN	Q8NCK3	ZN485_HUMAN	ZNF485	441	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 485	0.9997	0.9979	5	3	3	19	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	3	2	0	2	0	1	7	0	0.0	0.0	0.0	0.0	5218.7764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38485.14	0.0	0.0	0.0	0.0	0.0	5218.7764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38485.14	0.0	
sp|Q8NCM8|DYHC2_HUMAN	Q8NCM8	DYHC2_HUMAN	DYNC2H1	4307	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic dynein 2 heavy chain 1	1.0	0.999	7	50	50	50	0	3	4	4	4	5	2	8	1	3	3	3	3	7	0	3	4	4	4	5	2	8	1	3	3	3	3	7	0	3	4	4	4	5	2	8	1	3	3	3	3	7	13022.946	25043.701	80312.05	37971.92	120934.51	104769.83	166042.39	146622.72	60430.758	72366.82	131390.56	100289.73	119908.59	149577.2	22381.78	43041.152	27716.225	25902.924	26491.834	35496.293	28354.166	38755.25	26403.855	25096.717	28183.305	32522.79	27881.514	36758.316	
sp|Q8NCN2|ZBT34_HUMAN	Q8NCN2	ZBT34_HUMAN	ZBTB34	500	Homo sapiens	1:Experimental evidence at protein level	Zinc finger and BTB domain-containing protein 34	1.0	0.999	3	28	27	28	2	2	1	2	2	4	2	1	1	1	1	3	3	3	2	2	1	2	2	4	2	1	1	1	1	3	2	3	2	2	1	2	2	4	2	1	1	1	1	3	3	3	229156.88	49587.637	169411.44	173127.56	234130.14	132985.88	229663.48	116753.44	144507.58	135548.98	281421.44	124366.125	226192.88	128858.14	119084.38	45636.19	48025.355	60640.29	104677.68	56784.086	100152.125	38187.594	47097.85	43499.03	79284.44	53325.344	100282.03	56300.375	
sp|Q8NCN4|RN169_HUMAN	Q8NCN4	RN169_HUMAN	RNF169	708	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RNF169	1.0	0.999	7	70	70	70	5	4	4	5	4	8	4	5	5	3	3	8	8	4	5	4	4	5	4	8	4	5	5	3	3	8	8	4	5	4	4	5	4	8	4	5	5	3	3	8	8	4	148168.03	174255.6	174563.47	218913.16	250175.6	282866.97	174793.53	249199.6	155466.89	242142.69	290598.66	288811.3	235700.33	243658.9	63651.355	56468.633	77043.9	91073.91	75547.66	86426.19	62030.445	68523.37	67084.6	83573.95	76525.734	88934.375	77845.4	70628.24	
sp|Q8NCP5|ZBT44_HUMAN	Q8NCP5	ZBT44_HUMAN	ZBTB44	570	Homo sapiens	1:Experimental evidence at protein level	Zinc finger and BTB domain-containing protein 44	1.0	0.999	5	102	102	102	6	8	9	8	7	9	6	8	7	7	6	6	5	10	6	8	9	8	7	9	6	8	7	7	6	6	5	10	6	8	9	8	7	9	6	8	7	7	6	6	5	10	160792.56	150771.06	274660.12	236258.1	274319.28	176410.0	159791.84	166029.55	140060.95	173715.25	144243.23	230339.36	152204.69	269752.4	64094.59	35546.03	54736.555	68325.12	61560.832	51071.26	57439.293	45531.336	53434.74	50123.703	50956.15	52221.01	47916.387	46650.57	
sp|Q8ND04|SMG8_HUMAN	Q8ND04	SMG8_HUMAN	SMG8	991	Homo sapiens	1:Experimental evidence at protein level	Protein SMG8	1.0	0.999	8	58	58	58	0	2	2	0	6	1	7	7	2	2	4	3	13	9	0	2	2	0	6	1	7	7	2	2	4	3	13	9	0	2	2	0	6	1	7	7	2	2	4	3	13	9	0.0	0.0	27322.496	0.0	72602.945	46009.773	166361.89	82286.46	80911.09	80538.766	115047.67	66645.33	254868.47	122770.266	0.0	0.0	27322.496	0.0	43434.594	26903.277	60121.72	39831.258	47864.23	54294.89	72762.84	46470.42	86052.51	56192.22	
sp|Q8ND24|RN214_HUMAN	Q8ND24	RN214_HUMAN	RNF214	703	Homo sapiens	1:Experimental evidence at protein level	RING finger protein 214	1.0	0.999	3	35	35	35	0	0	0	0	3	3	4	6	3	1	3	3	6	3	0	0	0	0	3	3	4	6	3	1	3	3	6	3	0	0	0	0	3	3	4	6	3	1	3	3	6	3	0.0	0.0	18792.55	0.0	71814.66	45275.42	143726.84	117601.4	18598.957	13576.145	40880.258	44418.547	187269.64	45239.117	0.0	0.0	10223.53	0.0	48125.484	23158.162	94424.0	49959.23	20943.742	13643.405	46034.062	24486.178	76707.27	50942.45	
sp|Q8ND30|LIPB2_HUMAN	Q8ND30	LIPB2_HUMAN	PPFIBP2	876	Homo sapiens	1:Experimental evidence at protein level	Liprin-beta-2	1.0	0.999	3	25	25	28	3	0	2	3	4	2	2	0	4	0	2	1	2	0	3	0	2	3	4	2	2	0	4	0	2	1	2	0	3	0	2	3	4	2	3	0	4	0	2	1	4	0	37343.14	11182.677	99642.64	66083.55	71478.93	59624.4	44857.863	32664.338	77565.3	44305.58	47074.188	41368.227	23327.857	11165.915	22135.492	19179.273	28795.117	27769.51	24305.115	17131.156	21541.322	11827.184	29569.668	20900.506	25973.898	27975.836	21447.066	19150.525	
sp|Q8ND56|LS14A_HUMAN	Q8ND56	LS14A_HUMAN	LSM14A	463	Homo sapiens	1:Experimental evidence at protein level	Protein LSM14 homolog A	1.0	0.999	11	690	690	690	55	45	43	50	63	48	60	48	46	39	40	53	53	47	55	45	43	50	63	48	60	48	46	39	40	53	53	47	55	45	43	50	63	48	60	48	46	39	40	53	53	47	9340654.0	6769079.5	1.1456433E7	9570568.0	1.0939709E7	6622279.5	9552941.0	6984570.5	1.2068224E7	8838311.0	8192133.5	8778521.0	7244903.0	6792300.5	3521654.2	2009264.5	2922247.0	3560702.0	3695251.8	2835569.5	3425934.8	2455798.5	3105722.8	3369995.5	3285864.0	3313117.2	3416623.8	2566298.8	
sp|Q8ND76|CCNY_HUMAN	Q8ND76	CCNY_HUMAN	CCNY	341	Homo sapiens	1:Experimental evidence at protein level	Cyclin-Y	1.0	0.999	2	102	102	102	7	7	8	10	8	6	6	7	9	6	6	7	8	7	7	7	8	10	8	6	6	7	9	6	6	7	8	7	7	7	8	10	8	6	6	7	9	6	6	7	8	7	474016.72	474571.8	913191.9	1403396.2	414844.72	580244.25	746883.94	543957.7	463103.88	866419.1	595441.06	652028.6	674165.56	476087.4	474020.0	474575.12	469562.66	681203.56	414847.6	580248.3	382478.34	543961.44	463107.1	484242.25	507454.75	567239.9	376764.75	476090.72	
sp|Q8ND82|Z280C_HUMAN	Q8ND82	Z280C_HUMAN	ZNF280C	737	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 280C	1.0	0.999	4	114	114	114	6	6	6	7	10	8	13	13	7	7	8	8	8	7	6	6	6	7	10	8	13	13	7	7	8	8	8	7	6	6	6	7	10	8	13	13	7	7	8	8	8	7	177568.22	126794.13	197614.58	255004.28	426589.1	346075.7	412171.7	268757.7	266386.12	242253.06	481508.3	295781.34	327952.38	247451.19	156576.34	116976.62	111646.3	132056.5	176057.03	173731.25	152968.48	139519.6	129171.88	147904.34	218890.2	162398.3	141759.6	141609.61	
sp|Q8ND83|SLAI1_HUMAN	Q8ND83	SLAI1_HUMAN	SLAIN1	568	Homo sapiens	1:Experimental evidence at protein level	SLAIN motif-containing protein 1	1.0	0.999	4	85	85	85	3	7	2	8	8	7	8	7	6	6	5	5	8	5	3	7	2	8	8	7	8	7	6	6	5	5	8	5	3	7	2	8	8	7	8	7	6	6	5	5	8	5	81884.195	264359.16	156093.48	124352.625	201242.62	269603.56	269101.7	191502.97	147975.53	161178.02	265775.97	238253.53	151681.88	177742.36	28198.791	70143.29	45218.055	54436.938	53112.875	82542.7	69048.266	65592.52	49297.574	47754.695	64646.15	59260.71	50239.53	56326.258	
sp|Q8ND90|PNMA1_HUMAN	Q8ND90	PNMA1_HUMAN	PNMA1	353	Homo sapiens	1:Experimental evidence at protein level	Paraneoplastic antigen Ma1	0.9999	0.9987	2	8	3	8	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0.0	0.0	0.0	0.0	0.0	0.0	29464.271	56653.465	0.0	0.0	32503.484	20714.973	55740.574	94703.55	0.0	0.0	0.0	0.0	0.0	0.0	17840.723	22458.479	0.0	0.0	18745.584	11731.966	18926.229	35521.133	
sp|Q8NDC0|MISSL_HUMAN	Q8NDC0	MISSL_HUMAN	MAPK1IP1L	245	Homo sapiens	1:Experimental evidence at protein level	MAPK-interacting and spindle-stabilizing protein-like	1.0	0.999	1	54	54	54	10	0	2	1	5	0	9	0	3	1	9	3	9	2	10	0	2	1	5	0	9	0	3	1	9	3	9	2	10	0	2	1	5	0	9	0	3	1	9	3	9	2	64223.605	0.0	20317.094	5813.681	62147.83	0.0	84116.875	0.0	49159.09	24769.035	122192.12	30553.992	149353.6	18366.69	40687.78	0.0	15820.582	6117.746	47377.97	0.0	65481.26	0.0	34428.457	26064.496	79657.75	32152.016	98422.87	19327.297	
sp|Q8NDF8|PAPD5_HUMAN	Q8NDF8	PAPD5_HUMAN	TENT4B	572	Homo sapiens	1:Experimental evidence at protein level	Terminal nucleotidyltransferase 4B	1.0	0.999	5	75	75	75	5	2	6	6	5	1	8	9	4	0	1	6	13	9	5	2	6	6	5	1	8	9	4	0	1	6	13	9	5	2	6	6	5	1	8	9	4	0	1	6	13	9	0.0	0.0	0.0	0.0	2630655.8	56204.562	131783.14	131609.61	0.0	0.0	82841.016	3056208.5	189776.1	2952947.2	0.0	0.0	0.0	0.0	203995.83	133954.8	355980.56	344237.9	0.0	0.0	230738.94	255960.31	411040.94	255401.77	
sp|Q8NDI1|EHBP1_HUMAN	Q8NDI1	EHBP1_HUMAN	EHBP1	1231	Homo sapiens	1:Experimental evidence at protein level	EH domain-binding protein 1	1.0	0.999	9	270	270	270	19	20	21	19	22	24	26	17	16	18	14	15	20	19	19	20	21	19	22	24	26	17	16	18	14	15	20	19	19	20	21	19	22	24	26	17	16	18	14	15	20	19	876018.25	1090079.8	1117771.0	961970.7	1160409.5	1234334.5	1181603.1	1079508.1	1104927.9	1359870.5	1218761.4	1196031.0	1077198.0	850810.3	297972.4	360473.03	352619.22	369674.03	418694.1	424982.16	374913.7	344273.6	379692.03	413944.1	403817.44	391274.5	305556.88	324685.72	
sp|Q8NDL9|CBPC5_HUMAN	Q8NDL9	CBPC5_HUMAN	AGBL5	886	Homo sapiens	1:Experimental evidence at protein level	Cytosolic carboxypeptidase-like protein 5	0.978	0.999	1	6	6	6	1	0	0	0	1	0	2	1	0	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	1	0	14404.615	0.0	15399.822	0.0	21610.766	8326.415	19856.83	13569.321	0.0	0.0	13045.239	14503.654	14855.6455	15483.905	14404.615	0.0	15399.822	0.0	21610.766	8326.415	19856.83	13569.321	0.0	0.0	13045.239	14503.654	14855.6455	15483.905	
sp|Q8NDT2|RB15B_HUMAN	Q8NDT2	RB15B_HUMAN	RBM15B	890	Homo sapiens	1:Experimental evidence at protein level	Putative RNA-binding protein 15B	1.0	0.999	13	482	482	482	24	22	32	29	41	28	45	33	33	31	33	38	52	41	24	22	32	29	41	28	45	33	33	31	33	38	52	41	24	22	32	29	41	28	45	33	33	31	33	38	52	41	1650064.2	1230205.4	1462245.5	1848759.6	1771244.9	1574469.6	1673563.6	1657611.2	1662929.8	1486962.0	1844684.9	1916362.4	2011180.9	1791712.5	361249.25	270558.72	272736.4	308744.94	319579.5	318407.4	296030.84	264557.03	291092.0	302475.88	341181.16	299483.88	337598.5	252978.69	
sp|Q8NDV7|TNR6A_HUMAN	Q8NDV7	TNR6A_HUMAN	TNRC6A	1962	Homo sapiens	1:Experimental evidence at protein level	Trinucleotide repeat-containing gene 6A protein	1.0	0.999	9	137	137	137	5	8	7	9	13	12	13	10	6	7	10	11	17	9	5	8	7	9	13	12	13	10	6	7	10	11	17	9	5	8	7	9	13	12	13	10	6	7	10	11	17	9	657686.8	658206.25	558709.6	783838.8	650823.7	740823.3	601703.7	474999.62	435139.3	754097.5	472086.0	486844.88	510314.12	425773.38	107832.11	144664.4	129262.305	149707.4	143805.33	146753.72	118865.32	127035.67	125514.43	141957.69	136179.28	146997.33	117935.94	130690.305	
sp|Q8NDX5|PHC3_HUMAN	Q8NDX5	PHC3_HUMAN	PHC3	983	Homo sapiens	1:Experimental evidence at protein level	Polyhomeotic-like protein 3	1.0	0.999	4	97	97	97	4	6	3	6	7	7	9	8	8	8	7	9	8	7	4	6	3	6	7	7	9	8	8	8	7	9	8	7	4	6	3	6	7	7	9	8	8	8	7	9	8	7	161122.98	221574.78	187723.12	276197.5	318484.75	383266.72	326362.16	323329.5	327109.5	326365.72	364510.06	384867.94	269434.28	393791.25	136877.45	192564.62	105315.82	154177.12	134490.17	188402.28	125088.02	144101.4	141203.02	183342.23	154853.97	153457.77	102012.36	168027.25	
sp|Q8NE01|CNNM3_HUMAN	Q8NE01	CNNM3_HUMAN	CNNM3	707	Homo sapiens	1:Experimental evidence at protein level	Metal transporter CNNM3	0.978	0.999	1	33	33	33	7	4	5	8	1	1	0	2	0	0	1	1	2	1	7	4	5	8	1	1	0	2	0	0	1	1	2	1	7	4	5	8	1	1	0	2	0	0	1	1	2	1	50194.812	32628.844	53370.434	54074.16	34814.832	25047.12	21644.258	32948.723	50885.137	0.0	37762.184	32881.645	43575.96	24432.268	50194.812	32628.844	53370.434	54074.16	34814.832	25047.12	21644.258	32948.723	50885.137	0.0	37762.184	32881.645	43575.96	24432.268	
sp|Q8NE35|CPEB3_HUMAN	Q8NE35	CPEB3_HUMAN	CPEB3	698	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic polyadenylation element-binding protein 3	1.0	0.999	2	31	31	31	2	1	2	5	1	4	1	2	1	4	1	5	0	2	2	1	2	5	1	4	1	2	1	4	1	5	0	2	2	1	2	5	1	4	1	2	1	4	1	5	0	2	59680.79	92118.7	98362.86	95152.125	72350.46	124299.84	59779.062	58499.0	80689.06	148092.48	130753.555	110583.5	27656.992	78209.586	21230.47	39533.484	43491.434	40467.613	45073.746	51260.766	18771.41	33612.438	32568.195	60521.773	44486.69	44451.844	31854.973	32294.658	
sp|Q8NE65|ZN738_HUMAN	Q8NE65	ZN738_HUMAN	ZNF738	137	Homo sapiens	2:Experimental evidence at transcript level	Protein ZNF738	1.0	0.999	2	35	35	35	0	0	3	0	5	1	6	1	2	2	3	2	8	2	0	0	3	0	5	1	6	1	2	2	3	2	8	2	0	0	3	0	5	1	6	1	2	2	3	2	8	2	0.0	0.0	13383.853	0.0	121609.984	17767.207	108781.13	9104.541	31570.863	18474.793	64709.77	22395.39	131950.33	20228.768	0.0	0.0	13383.853	0.0	68575.586	17767.207	65200.477	9104.541	31570.863	18474.793	64709.77	22395.39	97762.625	20228.768	
sp|Q8NE71|ABCF1_HUMAN	Q8NE71	ABCF1_HUMAN	ABCF1	845	Homo sapiens	1:Experimental evidence at protein level	ATP-binding cassette sub-family F member 1	1.0	0.999	22	2022	2022	2022	285	68	166	132	207	111	207	112	129	106	118	106	178	97	285	68	166	132	207	111	207	112	129	106	118	106	178	97	285	68	166	132	207	111	207	112	129	106	118	106	178	97	2.973564E7	6114023.5	1.630369E7	1.3057857E7	2.3731094E7	1.2062588E7	2.6596726E7	1.1451213E7	1.2274742E7	1.1465121E7	1.6302868E7	1.2657273E7	1.9367252E7	1.0558863E7	3249441.2	1093937.0	1975441.1	1965190.0	2853593.0	1721556.5	2980268.2	1707059.6	2080859.6	1626611.4	2266508.8	1682598.0	2615114.5	1403585.4	
sp|Q8NEB9|PK3C3_HUMAN	Q8NEB9	PK3C3_HUMAN	PIK3C3	887	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol 3-kinase catalytic subunit type 3	1.0	0.999	3	37	37	37	0	0	2	0	4	3	3	4	2	1	3	1	8	6	0	0	2	0	4	3	3	4	2	1	3	1	8	6	0	0	2	0	4	3	3	4	2	1	3	1	8	6	0.0	0.0	28620.08	0.0	57998.242	57355.68	63057.85	68036.37	45009.684	52616.566	69507.99	83793.67	123638.055	92584.96	0.0	0.0	21811.188	0.0	47323.008	45299.723	33876.24	52295.676	45009.684	52616.566	51235.457	61669.87	39250.203	59418.016	
sp|Q8NEC7|GSTCD_HUMAN	Q8NEC7	GSTCD_HUMAN	GSTCD	633	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase C-terminal domain-containing protein	1.0	0.999	2	15	15	15	4	0	2	0	2	0	2	0	1	0	1	1	2	0	4	0	2	0	2	0	2	0	1	0	1	1	2	0	4	0	2	0	2	0	2	0	1	0	1	1	2	0	82889.89	23528.664	56221.19	18648.904	100268.8	30673.893	107740.89	0.0	69452.734	0.0	53955.887	22022.297	43465.94	24200.621	21906.842	20485.143	72575.555	24073.744	56963.734	26706.11	59599.16	0.0	38672.73	0.0	30043.762	28428.436	56109.89	31240.418	
sp|Q8NEF9|SRFB1_HUMAN	Q8NEF9	SRFB1_HUMAN	SRFBP1	429	Homo sapiens	1:Experimental evidence at protein level	Serum response factor-binding protein 1	1.0	0.999	6	290	290	290	18	18	18	18	22	20	26	23	15	19	22	21	26	24	18	18	18	18	22	20	26	23	15	19	22	21	26	24	18	18	18	18	22	20	26	23	15	19	22	21	26	24	636517.3	587909.9	489425.4	597649.44	688222.3	702966.5	818485.56	604800.75	664462.25	684902.8	669945.25	753144.6	716138.1	638923.75	286527.5	225183.17	224496.38	277640.44	273876.16	266267.94	274558.0	238522.03	251504.28	282881.53	285616.7	254250.78	228165.88	208028.47	
sp|Q8NEH6|MNS1_HUMAN	Q8NEH6	MNS1_HUMAN	MNS1	495	Homo sapiens	1:Experimental evidence at protein level	Meiosis-specific nuclear structural protein 1	0.9962	0.999	2	3	3	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	16867.41	0.0	26132.236	0.0	0.0	0.0	0.0	0.0	19885.08	0.0	0.0	0.0	0.0	0.0	11199.664	0.0	16259.207	0.0	0.0	0.0	0.0	0.0	11874.823	0.0	
sp|Q8NEJ9|NGDN_HUMAN	Q8NEJ9	NGDN_HUMAN	NGDN	315	Homo sapiens	1:Experimental evidence at protein level	Neuroguidin	1.0	0.999	11	377	377	377	28	10	20	17	41	22	49	31	13	15	25	33	34	39	28	10	20	17	41	22	49	31	13	15	25	33	34	39	28	10	20	17	41	22	49	31	13	15	25	33	34	39	2530231.5	536320.44	1531848.2	1158530.9	2416382.5	1179189.8	2768103.0	1443676.5	812886.4	852699.5	1320833.0	1053799.1	1580775.5	1286917.9	288357.4	184833.6	215279.02	240241.16	301233.53	227446.83	340979.7	253576.9	175577.83	190515.84	257563.78	230809.73	237601.08	225881.39	
sp|Q8NEL9|DDHD1_HUMAN	Q8NEL9	DDHD1_HUMAN	DDHD1	900	Homo sapiens	1:Experimental evidence at protein level	Phospholipase DDHD1	1.0	0.999	6	48	48	48	4	1	5	3	4	2	6	4	3	3	1	1	5	6	4	1	5	3	4	2	6	4	3	3	1	1	5	6	4	1	5	3	4	2	6	4	3	3	1	1	5	6	152602.83	116954.23	191731.45	191962.06	138587.66	114875.5	141761.81	133894.03	121549.984	151681.12	84455.336	132861.34	140891.2	120014.11	47152.816	47852.63	60622.215	67239.805	69329.266	61321.52	56524.28	67529.195	58437.543	90157.234	49953.047	71329.875	53739.24	60115.344	
sp|Q8NEM0|MCPH1_HUMAN	Q8NEM0	MCPH1_HUMAN	MCPH1	835	Homo sapiens	1:Experimental evidence at protein level	Microcephalin	0.9731	0.9988	1	3	3	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	20905.174	0.0	26235.516	23770.328	0.0	17074.312	0.0	0.0	27243.596	18595.338	0.0	0.0	0.0	0.0	20905.174	0.0	26235.516	23770.328	0.0	17074.312	0.0	0.0	27243.596	18595.338	0.0	0.0	0.0	0.0	
